id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
576,0.014228107768573,0.0042281077685733,0.016535337405065,-0.0018132927542055,1.0122381403948e-06,0.015625,0.578125,0
608,0.014031124491807,0.0040311244918071,0.017102846425779,-0.0017280322691047,-6.4913106825432e-07,0.015625,0.609375,0
640,0.013775797628364,0.0037757976283642,0.017701896423355,-0.0016170168333031,-2.2104679267956e-06,0.015625,0.640625,0
672,0.013468873222016,0.0034688732220163,0.018332622263226,-0.0014831647857606,-3.6404835195858e-06,0.015625,0.671875,0
704,0.01311869748344,0.0031186974834397,0.018995187399664,-0.0013300881605996,-4.9037331576513e-06,0.015625,0.703125,0
736,0.01273518460345,0.0027351846034496,0.019689767925154,-0.0011620858448644,-5.9559827313749e-06,0.015625,0.734375,0
768,0.01232976952247,0.00232976952247,0.020416537017749,-0.00098413049492177,-6.7407676380027e-06,0.015625,0.765625,0
800,0.011915329456952,0.0019153294569523,0.021175637018768,-0.00080184807700701,-7.1879110106057e-06,0.015625,0.796875,0
832,0.01150610725076,0.00150610725076,0.021967105682391,-0.00062152255476872,-7.2050887903624e-06,0.015625,0.828125,0
864,0.011117821425752,0.0011178214257518,0.022790803070634,-0.00045017503959464,-6.6643843731536e-06,0.015625,0.859375,0
896,0.010768017179382,0.00076801717938161,0.023646723329172,-0.00029548391203046,-5.5359896573229e-06,0.015625,0.890625,0
928,0.010474826924791,0.00047482692479121,0.024536004566443,-0.00016462985000473,-4.5056557493007e-06,0.015625,0.921875,0
960,0.010249096220664,0.00024909622066426,0.025460091452027,-6.247506318169e-05,-5.068685659702e-06,0.015625,0.953125,0
992,0.010082714694357,8.2714694357325e-05,0.026411642756823,2.7963084642522e-06,-3.9851086858074e-06,0.015625,0.984375,0
0,0.010098283162895,9.8283162895273e-05,0.011714085890198,1.6541855384219e-05,-2.2046737447209e-05,0.015625,0.015625,0
32,0.010198177743002,0.00019817774300242,0.011688796287371,-1.3025280245003e-05,-3.4884021232128e-06,0.015625,0.046875,0
64,0.010439505960495,0.00043950596049548,0.011716888074841,-0.00010360525139477,4.575550572856e-06,0.015625,0.078125,0
96,0.01073625539642,0.00073625539642034,0.011782903735603,-0.0002329725959408,9.495495143365e-06,0.015625,0.109375,0
128,0.011084486314548,0.0010844863145478,0.011881590563562,-0.00038957408215495,1.2905180361622e-05,0.015625,0.140625,0
160,0.011471237608761,0.0014712376087614,0.012011678808203,-0.00056451865100254,1.5126209451504e-05,0.015625,0.171875,0
192,0.011880587455179,0.0018805874551786,0.012172801519343,-0.00074964914199898,1.6313004019851e-05,0.015625,0.203125,0
224,0.012296725357932,0.0022967253579324,0.012364811237301,-0.00093750037036638,1.6645695177743e-05,0.015625,0.234375,0
256,0.012704954188919,0.002704954188919,0.012587702082385,-0.0011213831193426,1.6316526695377e-05,0.015625,0.265625,0
288,0.013092000173899,0.0030920001738985,0.012841563280581,-0.0012953867411874,1.5501464138345e-05,0.015625,0.296875,0
320,0.013446128807233,0.0034461288072332,0.013126524309895,-0.0014543631534166,1.4345101383074e-05,0.015625,0.328125,0
352,0.013757205883042,0.0037572058830418,0.013442714796748,-0.0015939160160434,1.295662928265e-05,0.015625,0.359375,0
384,0.014016736599217,0.0040167365992172,0.013790241287488,-0.0017103939618846,1.14129255761e-05,0.015625,0.390625,0
416,0.014217892873434,0.0042178928734338,0.014169175859022,-0.0018008858051567,9.76554530231e-06,0.015625,0.421875,0
448,0.014355534273368,0.0043555342733676,0.014579553278684,-0.0018632177854099,8.0491779484156e-06,0.015625,0.453125,0
480,0.014426225790967,0.004426225790967,0.01502137555264,-0.0018959532157017,6.2899385688456e-06,0.015625,0.484375,0
512,0.014428253240558,0.0044282532405584,0.015494623817939,-0.0018983939447329,4.5122528863964e-06,0.015625,0.515625,0
544,0.014361632920973,0.0043616329209727,0.015999277428323,-0.00187058129517,2.7430345529005e-06,0.015625,0.546875,0
577,0.013546399965978,0.0035463999659784,0.026979356288163,-0.0047803852987762,5.1541239173698e-05,0.046875,0.578125,0
609,0.013392631469553,0.0033926314695527,0.028706833686123,-0.0045561620943712,-1.9256869662508e-05,0.046875,0.609375,0
